type,title,author,content,date,push_tag,original_title
article,PHONm (Learning),PHONm (Learning),: 怎麼看下來金管會很像台灣最有效率的機關==,Tue Oct 17 14:04:13 2023,,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,icu9487,: 感謝無私分享,10/17 14:26,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,blence,: 推,10/17 14:32,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,hector28,: 推,10/17 14:37,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,willieliu,: 有些人就是調皮 好好講不當你一回事 偏要你投訴主管機,10/17 14:38,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,willieliu,: 關才要動作 那一開始為什麼不做XD,10/17 14:38,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,passenger10,: 推,10/17 14:44,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,yoyaha,: 好特別的經驗,10/17 14:52,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,slchao,: 推經驗分享,10/17 14:55,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,temu2015,: 感謝經驗分享,10/17 15:03,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,s95187463,: 感謝分享，反正先找主管機關？,10/17 15:12,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,illya65536,: 推分享,10/17 15:17,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,capacitor,: 推,10/17 15:22,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,biarg,: 有回報給推。遇到這種事，直接說你不處理我就問金管會，87%,10/17 15:32,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,biarg,: 會幫你解決問題，剩下的就...找金管會後，還是會處理好。,10/17 15:33,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,koei6200,: 推經驗分享,10/17 16:21,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,wei0019,: 推,10/17 16:22,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,abobstar,: 推經驗分享,10/17 16:23,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,redbeanbread,: 推,10/17 16:45,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,mitmitmit,: 推,10/17 17:08,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,yvonneeeee,: 推,10/17 17:15,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,eddy13,: 推經驗分享，總之，銀行就是欠金管會電,10/17 17:45,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,catuncle1,: 我想應該是當時的永豐銀行有這種內規，要把這件事如實,10/17 17:47,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,catuncle1,: 記載在金融徵信中，但篇幅有限，內容登到一半就卡掉了,10/17 17:48,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,pippen2002,: 感謝!!,10/17 17:49,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,pippen2002,: 推經驗分享，總之，銀行就是欠金管會電!不滿永豐了,10/17 17:49,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,catuncle1,: 後來的人也不知道該怎麼處理，是要在去函改，還是只會,10/17 17:49,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,catuncle1,: 登幾年就會消失，他們也不知道,10/17 17:49,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,misu2718,: 金管會效率只對國銀比較有用嗎，星展合併後還在爛,10/17 17:58,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,Kain88,: 感謝經驗流程分享,10/17 18:29,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,legendrl,: 不處理就找金管會,10/17 19:05,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,fifi0828,: 推,10/17 19:23,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,prussian,: 其實它發現有偽冒，註記請其他行加強查驗是對的，這樣,10/17 19:30,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,prussian,: 你名下才不會繼續長出你不知道的帳號。只是不看長度限,10/17 19:30,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,prussian,: 制導致被截斷真的很蠢，要註記說明卻沒說明清楚,10/17 19:30,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,prussian,: 這就跟詐騙一樣，要擋多嚴造成正常使用麻煩，或是要放,10/17 19:30,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,prussian,: 多鬆造成漏網之魚的選擇,10/17 19:30,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,YCL13,: 推經驗分享,10/17 20:04,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,YIHE,: 銀行不是會拉戶政資料嗎？之前我也有相同疑問銀行怎麼知道,10/17 20:18,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,YIHE,: 身份證真偽？分行襄理就拿戶政版資料給我看，才解心中疑,10/17 20:18,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,YIHE,: 惑。,10/17 20:18,→,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,sun61819,: 謝謝分享處理經驗,10/17 20:32,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
comment,,livy1055,: 一般是查身份證換補發，他是照片被冒用，查身份證換補發,10/17 21:40,推,Re: [問題] 身分證被冒用開戶在聯徵的紀錄怎麼處理
